fighter,height_cm,reach_cm,weight_kg,stance,age,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg
Houston Alexander,182.9,182.9,93.0,Orthodox,54.5,3.06,0.54,3.2,0.52,1.19,0.57,0.33,0.0
John Alessio,177.8,182.9,70.3,Orthodox,47.2,2.1,0.39,2.91,0.54,1.85,0.38,0.7,1.2
Marcio Alexandre Junior,182.9,190.5,83.9,Southpaw,37.4,1.61,0.45,2.89,0.42,0.35,0.2,0.66,0.7
Olaf Alfonso,188.0,,77.1,Orthodox,52.1,1.65,0.38,4.77,0.53,0.37,0.07,0.22,0.7
Pablo Alfonso,172.7,,65.8,,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Levi Alford,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bill Algeo,182.9,185.4,65.8,Switch,37.3,6.8,0.56,5.31,0.38,0.67,0.33,0.62,0.0
Royce Alger,177.8,,90.3,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Aliakbari,190.5,,113.4,,42.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sultan Aliev,180.3,188.0,77.1,Orthodox,42.0,1.41,0.45,2.2,0.56,1.76,0.38,1.0,0.0
John Allan,185.4,190.5,93.0,Orthodox,33.6,2.95,0.43,4.01,0.52,1.94,0.71,0.5,1.2
Arnold Allen,172.7,177.8,65.8,Southpaw,32.7,3.19,0.41,2.0,0.67,1.36,0.52,0.76,0.5
George Allen,188.0,,93.0,Open Stance,59.7,0.8,0.38,3.1,0.43,0.0,0.0,0.5,0.0
Ben Alloway,180.3,193.0,77.1,Orthodox,45.6,1.28,0.49,1.9,0.59,0.62,0.5,0.26,0.0
Brendan Allen,188.0,190.5,83.9,Orthodox,30.7,3.55,0.59,4.57,0.39,1.17,0.37,0.5,2.0
Ricardo Almeida,182.9,188.0,77.1,Orthodox,49.8,2.02,0.49,1.2,0.61,3.74,0.38,0.31,1.2
Magno Almeida,182.9,,70.3,,41.3,1.67,0.36,2.6,0.41,0.0,0.0,0.4,5.0
Thomas Almeida,170.2,177.8,65.8,Southpaw,35.1,5.39,0.44,4.69,0.64,0.0,0.0,0.75,0.0
Ericka Almeida,167.6,,52.2,Orthodox,37.6,1.07,0.39,3.33,0.43,0.5,0.33,0.37,0.0
Mauricio Alonso,188.0,,77.1,,46.6,5.74,0.34,1.91,0.67,0.0,0.0,0.0,0.0
Estefani Almeida,162.6,,56.7,Orthodox,37.9,3.13,0.37,6.07,0.42,0.0,0.0,0.0,0.0
Sarah Alpar,162.6,160.0,61.2,Southpaw,35.3,2.11,0.54,4.76,0.32,2.69,0.28,0.5,0.7
Rico Altamirano,177.8,,77.1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ali AlQaisi,167.6,172.7,61.2,Orthodox,36.0,2.43,0.42,1.97,0.56,3.5,0.29,0.6,1.0
Mike Altman,177.8,,83.9,Orthodox,,1.56,0.2,2.08,0.75,0.0,0.0,0.0,0.0
Sean Alvarez,182.9,,106.6,Orthodox,55.2,0.89,0.37,3.25,0.47,0.0,0.0,0.0,0.0
Jaime Alvarez,172.7,175.3,56.7,Orthodox,38.5,2.73,0.4,4.53,0.56,1.0,0.33,0.5,0.0
Joel Alvarez,190.5,195.6,70.3,Orthodox,32.6,2.84,0.37,3.31,0.53,0.0,0.0,0.0,1.6
Eddie Alvarez,175.3,175.3,70.3,Orthodox,42.7,4.32,0.41,4.39,0.55,2.92,0.36,0.92,0.5
Anthony Alves,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amilcar Alves,182.9,,77.1,Southpaw,38.1,0.5,0.46,2.02,0.3,0.0,0.0,0.53,0.0
