fighter,height_cm,reach_cm,weight_kg,stance,age,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg
Brian Foster,175.3,180.3,77.1,Orthodox,42.5,3.3,0.39,1.63,0.65,3.67,0.6,0.37,1.8
Francisco France,182.9,,93.0,,43.7,0.54,0.33,3.51,0.27,0.0,0.0,0.0,6.1
John Franchi,167.6,170.2,65.8,Orthodox,44.2,1.83,0.48,2.59,0.48,2.68,0.8,0.4,0.3
Brandon Foxworth,180.3,,65.8,Orthodox,47.4,1.33,0.32,4.59,0.5,0.0,0.0,0.0,0.0
Mason Fowler,180.3,,77.1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hermes Franca,167.6,180.3,70.3,Orthodox,52.1,1.78,0.39,2.85,0.55,1.53,0.36,0.37,2.4
Glaico Franca Moreira,182.9,195.6,70.3,Orthodox,35.6,2.35,0.42,3.46,0.47,2.68,0.42,0.76,0.3
Xavier Foupa-Pokam,185.4,,83.9,Open Stance,44.2,1.47,0.43,2.5,0.49,0.0,0.0,0.16,0.0
Rich Franklin,185.4,193.0,83.9,Southpaw,52.0,4.1,0.44,2.07,0.62,1.31,0.66,0.63,0.7
Zane Frazier,195.6,,113.4,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zoila Frausto,162.6,,61.2,Orthodox,,0.77,0.31,1.64,0.53,0.0,0.0,0.57,0.0
Justin Frazier,182.9,190.5,120.2,Southpaw,37.3,1.11,0.66,6.11,0.04,0.0,0.0,0.0,0.0
Gary Frazier,182.9,,111.1,Orthodox,,1.5,0.39,2.77,0.46,0.0,0.0,1.0,0.0
Stephanie Frausto,157.5,154.9,52.2,Orthodox,36.0,1.43,0.21,3.57,0.6,0.0,0.0,0.0,0.0
Ian Freeman,180.3,,102.1,Orthodox,59.9,2.54,0.48,3.11,0.44,1.44,0.4,0.8,0.7
Jason Freeman,188.0,,102.1,,50.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Willamy Freire,172.7,,70.3,,39.2,1.53,0.37,0.93,0.62,0.5,1.0,0.73,0.0
Patricio Freire,165.1,165.1,65.8,,39.2,2.84,0.41,4.43,0.6,0.6,0.18,0.94,0.6
Patricky Freire,170.2,180.3,70.3,,40.3,3.06,0.44,3.34,0.69,1.26,0.33,1.0,0.0
Jeremy  Freitag,185.4,,93.0,,,0.0,0.0,8.37,0.19,0.0,0.0,0.33,1.9
Rafael Freitas,,,93.0,Orthodox,,2.0,0.29,8.0,0.51,11.25,0.5,0.0,0.0
Clay French,170.2,,73.0,Southpaw,46.0,1.52,0.5,1.27,0.16,0.0,0.0,1.0,0.0
Donavon Frelow,170.2,,61.2,Orthodox,41.7,2.4,0.27,3.2,0.52,1.0,1.0,0.26,0.0
Mike French,177.8,,65.8,,51.3,0.23,0.23,2.17,0.42,0.0,0.0,0.22,1.0
Matt Frevola,175.3,180.3,70.3,Orthodox,36.3,2.73,0.37,3.44,0.58,2.59,0.37,0.4,1.1
Jinh Yu Frey,160.0,165.1,52.2,Southpaw,41.3,1.79,0.4,3.35,0.44,1.06,0.42,0.83,0.7
Artem Frolov,177.8,,83.9,,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarah Frota,167.6,175.3,56.7,Southpaw,39.4,4.52,0.52,2.57,0.55,0.0,0.0,0.53,0.0
Don Frye,185.4,,99.3,Orthodox,60.8,2.87,0.64,3.57,0.37,0.91,0.57,0.45,0.7
Katsuhisa Fujii,182.9,,93.0,Orthodox,54.1,4.0,0.5,4.43,0.64,2.14,0.25,0.5,2.1
Tony Fryklund,182.9,,83.9,Orthodox,55.5,3.49,0.39,6.5,0.43,0.0,0.0,0.66,0.5
Jesse Fujarczyk,193.0,,102.1,Southpaw,43.7,1.03,0.33,4.91,0.38,0.0,0.0,0.25,0.0
Keisuke Fujiwara,167.6,,63.0,Switch,,0.73,0.44,1.2,0.47,0.0,0.0,0.23,2.5
Megumi Fujii,160.0,,51.3,,52.4,2.4,0.42,0.0,1.0,0.0,0.0,0.0,12.0
Kazuyuki Fujita,182.9,,106.6,Orthodox,55.9,1.05,0.49,1.99,0.52,2.78,0.36,0.85,0.6
Riki Fukuda,182.9,185.4,83.9,Southpaw,45.7,4.24,0.43,3.71,0.64,2.17,0.43,0.7,0.0
Masio Fullen,177.8,177.8,65.8,Orthodox,40.0,2.46,0.32,3.5,0.54,0.47,0.33,0.69,0.0
Sam Fulton,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Masakatsu Funaki,182.9,,83.9,Southpaw,57.5,1.82,0.68,2.92,0.35,0.0,0.0,0.0,5.5
Travis Fulton,182.9,,108.9,Orthodox,49.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ricardo Funch,177.8,188.0,77.1,Southpaw,46.1,2.61,0.65,3.57,0.4,1.24,0.18,0.6,0.0
Katsuaki Furuki,182.9,,76.2,,45.9,0.27,0.1,2.67,0.39,0.0,0.0,0.0,3.0
Gustavo Gabriel,167.6,,56.7,Orthodox,32.5,4.06,0.65,4.26,0.46,0.0,0.0,0.5,0.0
James Gabert,,,80.7,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Gaethje,180.3,177.8,70.3,Orthodox,37.9,7.46,0.59,7.99,0.55,0.0,0.0,0.69,0.0
Alavutdin Gadjiev,188.0,,83.9,Orthodox,44.3,0.99,0.27,0.99,0.57,0.0,0.0,0.5,0.0
Claudia Gadelha,162.6,160.0,52.2,Orthodox,37.8,3.31,0.41,4.57,0.57,3.03,0.42,0.58,0.7
Sheila Gaff,165.1,,61.2,Orthodox,36.7,1.6,0.5,2.89,0.28,0.0,0.0,0.2,0.0
Muin Gafurov,170.2,,61.2,,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitch Gagnon,165.1,165.1,61.2,Southpaw,42.0,2.76,0.46,2.21,0.61,1.16,0.25,0.65,1.9
Brandon Gaines,190.5,,83.9,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Travis Galbraith,182.9,,77.1,Orthodox,45.3,2.21,0.4,3.45,0.48,1.33,0.25,0.0,1.3
Mickey Gall,188.0,188.0,77.1,Switch,34.7,2.55,0.46,3.65,0.42,1.15,0.26,0.4,2.1
Dave Galera,180.3,,61.2,Orthodox,48.7,1.67,0.69,0.53,0.33,0.0,0.0,0.14,2.0
Daniel Gallemore,195.6,,120.2,,,3.1,0.41,6.0,0.52,0.0,0.0,0.0,0.0
Tom Gallicchio,177.8,,77.1,Southpaw,40.0,3.53,0.26,7.07,0.43,1.0,0.11,0.0,0.0
Turrell Galloway,160.0,,65.8,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zelg Galesic,188.0,,83.9,Orthodox,47.6,4.86,0.62,0.61,0.66,1.3,1.0,0.2,1.3
Eric Galvan,,,70.3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucas Gamaza,,,77.1,,,7.57,0.31,6.99,0.45,0.0,0.0,0.0,0.0
Marcos Galvao,170.2,,61.2,Orthodox,45.3,1.97,0.32,3.86,0.61,2.27,0.28,0.88,1.1
Andre Galvao,170.2,,76.2,Orthodox,44.0,2.34,0.52,1.56,0.58,2.02,0.27,0.0,2.8
Joey Gambino,170.2,,65.8,Orthodox,37.9,2.47,0.35,2.53,0.51,0.0,0.0,0.42,0.8
Mateusz Gamrot,177.8,177.8,70.3,Southpaw,35.8,3.47,0.41,2.47,0.56,5.0,0.31,1.0,0.0
Shamil Gamzatov,188.0,193.0,93.0,Orthodox,36.1,4.27,0.46,2.13,0.58,0.0,0.0,0.5,0.0
Manvel Gamburyan,165.1,170.2,61.2,Orthodox,45.4,2.13,0.41,2.83,0.55,3.26,0.34,0.69,0.7
Ariel Gandulla,180.3,,93.0,Orthodox,58.4,1.95,0.23,2.07,0.72,1.88,0.66,0.0,0.0
Eduardo Garagorri,175.3,177.8,65.8,Orthodox,37.3,3.42,0.51,2.36,0.58,0.48,1.0,0.61,0.0
Sean Gannon,190.5,,120.2,Southpaw,,0.0,0.0,6.38,0.28,0.0,0.0,0.5,0.0
Ciryl Gane,193.0,205.7,111.1,Orthodox,36.4,5.04,0.55,1.85,0.69,1.13,0.26,1.0,0.5
Cody Garbrandt,172.7,165.1,61.2,Orthodox,35.2,3.35,0.37,3.33,0.65,0.84,0.33,1.0,0.0
Leonard Garcia,177.8,172.7,65.8,Orthodox,47.2,2.77,0.24,4.79,0.52,0.3,0.26,0.42,0.5
Alejandro Garcia,170.2,,65.8,,,1.22,0.62,1.14,0.65,8.55,0.87,0.66,0.0
Edgar Garcia,177.8,180.3,77.1,Orthodox,42.6,3.16,0.29,4.23,0.6,2.21,0.57,0.5,0.6
Nick Garcia,162.6,,56.7,,,0.67,0.25,3.03,0.5,0.0,0.0,0.83,5.1
Alex Garcia,175.3,182.9,77.1,Orthodox,39.2,1.81,0.31,3.03,0.59,3.72,0.52,0.66,0.1
Steve Garcia,182.9,190.5,70.3,Southpaw,34.3,4.31,0.55,2.52,0.36,0.61,0.25,1.0,0.6
Elias Garcia,165.1,170.2,56.7,Southpaw,34.0,1.59,0.27,5.05,0.5,0.68,0.14,0.33,1.4
Rafa Garcia,170.2,177.8,70.3,Orthodox,32.1,3.47,0.23,6.6,0.54,0.0,0.0,1.0,0.0
Rulon Gardner,190.5,,120.2,Orthodox,55.1,2.05,0.25,1.45,0.6,0.75,1.0,1.0,0.0
David Gardner,180.3,,70.3,Orthodox,49.4,0.17,1.0,0.34,0.0,0.0,0.0,0.66,0.0
Pablo Garza,185.4,185.4,65.8,Orthodox,43.0,3.37,0.44,2.7,0.5,0.94,0.25,0.15,1.3
Brian Gassaway,185.4,,77.1,Orthodox,54.1,0.34,0.26,3.65,0.44,0.0,0.0,0.42,0.0
Azamat Gashimov,167.6,,56.7,Orthodox,36.5,1.24,0.21,4.75,0.53,1.69,0.25,0.0,0.0
Willie Gates,172.7,182.9,56.7,Orthodox,39.7,1.8,0.38,4.28,0.38,0.0,0.0,0.67,0.4
Kelvin Gastelum,175.3,180.3,83.9,Southpaw,34.9,3.64,0.43,2.92,0.59,1.22,0.39,0.64,0.1
Louis Gaudinot,160.0,160.0,56.7,Orthodox,42.1,2.34,0.37,6.42,0.48,0.57,0.4,0.31,1.1
Melissa Gatto,165.1,,61.2,Orthodox,30.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlene Gellner,157.5,,56.7,,,2.01,0.42,3.24,0.43,0.0,0.0,0.0,1.7
Chad George,167.6,172.7,61.2,Southpaw,44.4,1.26,0.5,1.11,0.65,3.08,0.46,0.0,1.3
Paul Georgieff,188.0,,77.1,Orthodox,44.0,2.55,0.4,2.34,0.35,0.0,0.0,0.0,0.0
Brian Geraghty,170.2,,70.3,Orthodox,45.9,0.47,0.25,9.77,0.36,0.0,0.0,0.5,0.0
Derek Getzel,182.9,,70.3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karine Gevorgyan,162.6,160.0,56.7,,37.5,1.2,0.2,1.8,0.76,0.0,0.0,0.0,0.0
Christos Giagos,177.8,180.3,70.3,Orthodox,36.7,2.88,0.41,2.59,0.51,3.11,0.39,0.5,0.3
Darrel Gholar,172.7,,88.0,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Giannetti,182.9,188.0,70.3,Southpaw,31.2,1.93,0.38,2.8,0.4,1.0,0.16,0.0,0.0
Tiki Ghosn,177.8,,77.1,Orthodox,49.6,2.78,0.46,2.94,0.58,0.41,0.5,0.61,0.0
Nick Gibbons,177.8,,70.3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Giboo,180.3,,77.1,Orthodox,48.7,1.2,0.27,7.08,0.39,0.0,0.0,0.0,0.0
Lance Gibson,175.3,,83.9,Orthodox,55.8,1.21,0.75,6.44,0.2,0.0,0.0,0.0,0.0
Lee Gibson,170.2,,70.3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chase Gibson,177.8,182.9,70.3,Orthodox,36.6,3.13,0.54,6.4,0.52,0.0,0.0,0.0,0.0
Cody Gibson,177.8,180.3,61.2,Orthodox,39.0,2.47,0.31,2.54,0.63,1.85,0.38,0.58,0.4
Kenny Giddens,180.3,,70.3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Gifford,185.4,190.5,70.3,Orthodox,34.2,3.97,0.37,6.45,0.37,0.5,0.33,0.33,0.0
Kultar Gill,182.9,,69.9,Orthodox,47.5,1.14,0.5,0.4,0.41,1.71,0.66,0.38,0.0
Trevin Giles,182.9,188.0,83.9,Orthodox,34.1,3.26,0.56,1.88,0.62,1.37,0.8,0.79,0.3
Joey Gilbert,180.3,,70.3,Orthodox,50.3,0.61,0.42,4.44,0.31,0.0,0.0,0.0,0.0
Gregor Gillespie,170.2,180.3,70.3,Orthodox,39.9,3.58,0.49,2.14,0.6,7.02,0.47,0.0,0.9
Jesse Gillespie,,,83.9,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Gilliam,182.9,,77.1,Orthodox,,0.79,0.33,3.14,0.42,0.0,0.0,0.0,0.0
Krishaun Gilmore,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Gilpin,170.2,,65.8,Orthodox,34.5,6.8,0.54,12.29,0.42,2.17,0.25,0.0,2.2
Bob Gilstrap,190.5,,90.7,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Demetrius Gioulacos,180.3,,83.9,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Billy Giovanella,172.7,,56.7,,41.1,1.27,0.4,2.02,0.52,0.87,0.12,1.0,1.7
He-Man Gipson,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Israel Giron,172.7,,70.3,,52.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Glaza,182.9,,104.3,,,4.34,0.54,0.43,0.4,4.34,1.0,0.0,4.3
Joseph Gigliotti,180.3,,83.9,Orthodox,33.1,1.04,0.39,2.92,0.45,1.56,1.0,0.5,0.8
Brandon Girtz,170.2,,70.3,,41.5,2.5,0.6,1.92,0.47,5.76,1.0,1.0,0.0
Mike Glenn,,,93.0,,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rick Glenn,182.9,177.8,65.8,Southpaw,37.4,4.31,0.42,4.29,0.53,0.67,0.13,0.66,0.3
Clint Godfrey,167.6,,61.2,Southpaw,43.9,0.57,0.31,0.96,0.65,0.85,0.25,0.5,0.0
Mark Godbeer,193.0,195.6,108.9,Orthodox,42.8,3.97,0.53,3.3,0.54,0.0,0.0,0.28,0.0
Jason Godsey,188.0,,104.3,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonny Goh,180.3,,70.3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hannah Goldy,162.6,154.9,56.7,Orthodox,34.3,6.53,0.46,3.9,0.55,0.0,0.0,0.66,0.0
Allan Goes,182.9,,93.0,Orthodox,55.4,0.64,0.52,1.35,0.41,1.75,0.4,0.0,2.6
Marcelo Golm,190.5,190.5,112.9,Orthodox,34.0,4.27,0.58,4.3,0.45,0.45,0.5,0.87,0.5
Alan Gomez,,,70.3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sergio Gomez,167.6,,70.3,Orthodox,44.4,1.5,0.42,1.16,0.56,2.57,0.66,0.31,0.0
Frank Gomez,177.8,170.2,61.2,Orthodox,40.5,1.52,0.48,0.79,0.66,1.14,0.6,0.7,0.8
David Gomez,,,70.3,,43.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ulysses Gomez,167.6,,56.7,Orthodox,43.3,2.72,0.25,3.57,0.68,0.0,0.0,0.0,0.0
Edson Gomez,172.7,175.3,77.1,Switch,35.6,2.66,0.32,8.78,0.45,0.0,0.0,0.0,0.0
Joey Gomez,177.8,180.3,70.3,Orthodox,37.1,3.73,0.49,3.33,0.5,2.0,0.28,0.0,0.0
Luis Gomez,170.2,172.7,65.8,Orthodox,31.7,1.57,0.33,4.03,0.55,4.48,0.5,0.33,0.0
Silvana Gomez Juarez,160.0,,56.7,Orthodox,42.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Akihiro Gono,170.2,172.7,77.1,Switch,52.0,2.18,0.48,2.67,0.63,1.01,0.84,0.46,0.5
Takanori Gomi,170.2,177.8,70.3,Southpaw,48.0,3.81,0.41,3.52,0.6,1.23,0.65,0.63,0.8
Gabriel Gonzaga,188.0,193.0,109.8,Orthodox,47.4,2.12,0.45,2.94,0.57,2.8,0.39,0.66,1.1
Nick Gonzalez,167.6,,70.3,Orthodox,45.6,0.59,0.2,2.35,0.33,0.0,0.0,0.5,0.0
Justin Gonzales,175.3,182.9,65.8,Orthodox,35.4,6.67,0.8,0.87,0.43,14.0,0.73,1.0,0.0
Fabian Gonzalez,177.8,,61.2,,,3.9,0.48,4.39,0.51,0.0,0.0,0.66,0.0
Fernando Gonzalez,175.3,172.7,77.1,Southpaw,43.0,4.47,0.47,4.03,0.65,0.86,0.33,0.43,1.4
Lewis Gonzalez,177.8,,77.1,Orthodox,39.0,1.4,0.37,1.87,0.41,2.0,0.33,0.62,0.0
Jorge Gonzalez,188.0,193.0,93.0,Orthodox,42.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Gonzalez,188.0,188.0,70.3,Southpaw,36.6,3.06,0.39,3.13,0.58,0.0,0.0,0.3,1.0
Kier Gooch,,,70.3,,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pearl Gonzalez,162.6,,52.2,Orthodox,40.1,2.23,0.37,4.07,0.57,1.04,0.11,0.0,0.5
Mikey Gonzalez,180.3,188.0,70.3,Orthodox,41.1,0.91,0.16,14.55,0.11,0.0,0.0,0.0,0.0
Jared Gooden,182.9,195.6,77.1,Orthodox,32.8,6.67,0.47,11.2,0.49,1.0,1.0,1.0,0.0
Lyman Good,182.9,188.0,77.1,Orthodox,41.3,5.34,0.48,4.01,0.63,0.27,1.0,0.75,0.0
Jordan Goodwin,,,70.3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gary Goodridge,190.5,,112.9,Orthodox,60.7,1.84,0.56,2.14,0.48,0.4,1.0,0.53,0.8
Tebaris Gordon,185.4,,120.2,Orthodox,38.2,3.53,0.16,49.41,0.22,0.0,0.0,0.0,0.0
Gerard Gordeau,195.6,,98.0,Orthodox,67.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eddie Gordon,182.9,193.0,83.9,Orthodox,43.2,2.03,0.32,2.57,0.6,1.93,0.83,0.63,0.0
Alex Gorgees,188.0,188.0,70.3,Switch,31.1,0.67,0.32,2.27,0.38,0.0,0.0,0.54,0.0
Malcolm Gordon,170.2,180.3,56.7,Switch,36.3,0.55,0.13,3.87,0.54,0.0,0.0,0.0,0.0
Jared Gordon,175.3,172.7,65.8,Orthodox,38.0,5.54,0.56,3.22,0.6,2.81,0.39,0.55,0.0
Tim Gorman,165.1,,61.2,Southpaw,43.4,2.73,0.31,5.57,0.46,1.0,0.09,0.33,0.0
Thibault Gouti,177.8,182.9,70.3,Orthodox,39.6,3.68,0.34,5.64,0.5,1.23,0.8,0.83,0.3
Jonathan Goulet,182.9,185.4,77.1,Orthodox,47.2,1.61,0.41,2.01,0.46,4.17,0.7,0.45,0.6
Chase Gormley,190.5,,120.2,Orthodox,,3.6,0.42,6.03,0.44,3.12,0.42,0.0,1.0
Todd Gouwenberg,185.4,,93.0,Orthodox,52.0,0.52,0.23,2.93,0.42,1.57,0.33,0.5,0.0
Wilson Gouveia,185.4,193.0,83.9,Orthodox,48.0,3.02,0.39,4.06,0.56,0.9,0.66,0.57,2.2
Justin Governale,,,65.8,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crosley Gracie,175.3,,86.2,Orthodox,47.2,1.69,0.37,1.54,0.6,3.46,0.85,0.5,0.6
Daniel Gracie,188.0,,102.1,Orthodox,,1.9,0.38,1.33,0.59,0.36,1.0,0.8,2.1
Hugo Govea,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renzo Gracie,177.8,,83.9,Orthodox,59.5,1.71,0.41,1.67,0.55,1.13,0.2,0.4,0.8
Damian Grabowski,185.4,190.5,109.3,Orthodox,46.4,4.0,0.36,7.65,0.51,0.0,0.0,0.0,0.0
Ralph Gracie,175.3,,83.0,Orthodox,,0.86,0.37,1.72,0.31,0.0,0.0,0.25,4.0
Royce Gracie,185.4,,79.4,Southpaw,59.8,0.88,0.41,1.13,0.37,0.0,0.0,0.66,0.8
Rickson Gracie,177.8,,83.9,Switch,67.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ralek Gracie,188.0,,95.3,Orthodox,41.0,1.61,0.46,1.05,0.55,2.5,0.75,0.0,1.7
Ryan Gracie,175.3,,90.7,Orthodox,52.1,0.82,0.61,0.5,0.4,2.83,0.75,0.25,0.9
Royler Gracie,172.7,,68.0,Southpaw,60.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodrigo Gracie,182.9,,83.0,Orthodox,51.5,1.34,0.51,0.86,0.46,1.49,0.5,0.75,0.4
Cesar Gracie,177.8,,82.1,Orthodox,,0.0,0.0,17.14,0.5,0.0,0.0,0.0,0.0
Rolles Gracie,193.0,,109.8,Orthodox,48.2,2.3,0.32,3.38,0.55,2.3,0.1,0.0,0.0
Roger Gracie,193.0,200.7,83.9,Orthodox,45.0,1.78,0.35,1.79,0.61,1.87,0.53,0.6,1.9
Igor Gracie,180.3,,77.1,,46.6,1.86,0.6,0.99,0.5,3.72,0.5,0.0,3.7
Kron Gracie,175.3,177.8,65.8,Southpaw,38.2,5.15,0.41,8.13,0.53,0.88,0.25,0.0,0.9
Steven Graham,185.4,,131.5,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miranda Granger,170.2,172.7,56.7,Orthodox,34.4,2.91,0.48,2.64,0.59,0.0,0.0,0.4,0.0
Scott Graham,193.0,,83.9,Orthodox,,0.91,0.42,2.27,0.28,0.0,0.0,0.0,0.0
Neiman Gracie,182.9,,77.1,,,0.77,1.0,0.38,0.75,5.77,1.0,0.0,5.8
Davey Grant,172.7,175.3,61.2,Orthodox,40.8,3.93,0.47,2.47,0.63,2.3,0.45,0.66,0.2
TJ Grant,177.8,182.9,70.3,Orthodox,42.6,3.95,0.54,3.21,0.56,1.63,0.43,0.36,0.6
Tony Gravely,165.1,175.3,61.2,Orthodox,35.0,3.69,0.55,3.16,0.42,5.6,0.51,0.5,0.8
Alexa Grasso,165.1,167.6,56.7,Orthodox,33.1,4.96,0.43,3.61,0.64,0.28,0.4,0.6,0.6
Shelton Graves,188.0,193.0,115.7,Southpaw,40.9,2.19,0.69,0.81,0.33,4.86,0.57,0.0,0.0
Michael Graves,177.8,180.3,77.1,Orthodox,35.7,1.25,0.54,1.47,0.58,4.8,0.52,0.66,0.4
Kevin Gray,162.6,170.2,56.7,Orthodox,41.4,3.45,0.62,4.48,0.66,0.0,0.0,0.0,0.0
Dwight Grant,185.4,193.0,77.1,Switch,42.0,3.39,0.37,2.16,0.69,0.34,1.0,0.78,0.0
James Gray,175.3,,61.2,Orthodox,38.9,2.61,0.5,18.26,0.44,0.0,0.0,0.0,0.0
Sam Greco,188.0,,93.0,Orthodox,59.4,2.4,0.75,1.33,0.53,0.0,0.0,0.25,1.0
Max Griffin,180.3,193.0,77.1,Orthodox,40.8,4.14,0.48,3.94,0.56,1.7,0.51,0.66,0.5
Tyson Griffin,167.6,172.7,65.8,Orthodox,42.4,3.71,0.41,2.3,0.65,1.87,0.46,0.59,0.9
Gabe Green,177.8,185.4,77.1,Switch,33.4,6.57,0.46,7.23,0.49,1.0,1.0,0.57,0.5
Bobby Green,177.8,180.3,70.3,Orthodox,40.0,5.17,0.51,3.32,0.63,1.56,0.41,0.72,0.3
Matt Grice,172.7,177.8,65.8,Orthodox,45.2,4.09,0.53,2.69,0.56,2.19,0.37,0.82,0.5
Maurice Greene,200.7,203.2,117.0,Orthodox,40.2,4.12,0.44,4.37,0.45,0.0,0.0,0.28,0.6
Desmond Green,177.8,185.4,70.3,Southpaw,37.0,3.7,0.46,2.51,0.69,1.62,0.5,0.75,0.0
Forrest Griffin,190.5,195.6,93.0,Orthodox,47.5,4.38,0.36,2.81,0.61,1.05,0.48,0.57,0.7
Rodrigo Gripp de Sousa,180.3,,93.0,Orthodox,,0.48,0.23,4.81,0.52,0.0,0.0,0.0,9.6
Chuck Grigsby,198.1,,93.0,Orthodox,,0.71,0.16,3.29,0.46,0.0,0.0,0.66,0.0
Jordan Griffin,177.8,185.4,65.8,Southpaw,36.6,2.6,0.46,3.18,0.48,0.78,0.23,0.42,1.8
Chad Griggs,185.4,185.4,93.0,Orthodox,48.4,2.67,0.5,2.22,0.46,1.51,0.66,0.41,0.0
Maxim Grishin,190.5,198.1,99.8,Orthodox,42.4,2.95,0.44,2.33,0.56,0.38,0.33,0.66,0.0
Josh Grispi,180.3,188.0,65.8,Orthodox,37.9,1.44,0.41,3.71,0.5,1.97,0.36,0.16,2.2
Garrett Gross,175.3,,70.3,Orthodox,38.1,2.39,0.45,1.67,0.46,0.0,0.0,0.52,0.0
Kendall Grove,198.1,200.7,83.9,Orthodox,43.9,2.31,0.41,2.4,0.54,0.49,0.45,0.56,1.7
Neil Grove,198.1,,120.2,Orthodox,55.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.3
Wang Guan,175.3,180.3,65.8,Orthodox,40.5,4.73,0.43,3.27,0.6,0.0,0.0,0.0,0.0
Chris Gruetzemacher,172.7,172.7,70.3,Orthodox,40.3,7.02,0.57,5.54,0.55,0.0,0.0,0.62,0.0
Vik Grujic,180.3,185.4,77.1,Orthodox,49.6,2.24,0.48,3.39,0.41,1.18,0.33,0.26,0.4
Mike Grundy,170.2,182.9,65.8,Orthodox,39.7,2.15,0.43,4.09,0.58,4.25,0.38,1.0,0.6
Nandor Guelmino,190.5,,104.3,,50.8,3.62,0.56,3.16,0.33,0.0,0.0,0.42,0.0
Fabricio Guerreiro,177.8,,65.8,,36.2,1.87,0.31,2.2,0.67,2.0,0.5,0.0,0.0
Brad Gumm,180.3,,77.1,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leonardo Guimaraes,182.9,,83.9,Orthodox,44.4,2.35,0.56,2.99,0.44,0.0,0.0,0.52,1.0
Jason Guida,177.8,,97.1,,49.1,1.87,0.4,3.33,0.52,1.0,0.14,0.5,1.0
Shannon Gugerty,177.8,180.3,70.3,Orthodox,44.7,1.25,0.39,1.88,0.58,2.13,0.27,0.5,3.4
Clay Guida,170.2,177.8,70.3,Orthodox,44.8,2.44,0.34,2.57,0.63,3.36,0.38,0.68,0.7
Melvin Guillard,175.3,180.3,70.3,Orthodox,43.5,2.96,0.4,1.85,0.66,1.3,0.63,0.61,0.2
Marcelo Guimaraes,182.9,185.4,83.9,Orthodox,43.2,4.67,0.51,4.41,0.62,1.99,0.13,0.0,0.0
Chris Guillen,182.9,,108.9,Orthodox,53.8,0.82,0.27,1.91,0.36,0.0,0.0,0.0,0.0
Fabio Gurgel,182.9,,93.0,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Gunther,175.3,182.9,70.3,Orthodox,40.8,1.65,0.37,3.72,0.46,7.08,0.42,0.0,0.0
Jorge Gurgel,170.2,175.3,70.3,Orthodox,49.7,3.37,0.32,3.62,0.62,0.81,0.23,0.6,0.5
